,compare,frequency,seed,human_seed,updates,utility,position
0,position,5,1111,100,199,0.0121666369999999,2.3018482489999967
1,position,10,1111,100,99,0.0229166209999999,4.096073112000002
2,position,20,1111,100,49,0.039166605,7.343710699999994
3,position,30,1111,100,33,0.04224994,8.466888123000004
4,position,40,1111,100,24,0.0567499380000002,14.103856167999997
5,position,60,1111,100,16,0.0625832570000004,15.47054523500001
6,position,100,1111,100,9,0.08791661,28.346092255000023
7,position,5,2222,100,199,0.0118333009999999,2.257161244000001
8,position,10,2222,100,99,0.0209166129999999,3.833036941000007
9,position,20,2222,100,49,0.0337499239999999,6.762138946999996
10,position,30,2222,100,33,0.0418332630000001,8.124563016999995
11,position,40,2222,100,24,0.0588332750000002,14.023942552999996
12,position,60,2222,100,16,0.0631665880000005,15.44599668999999
13,position,100,2222,100,9,0.104833274,30.19315826999999
14,position,5,4444,100,199,0.0108333049999999,2.214679974999999
15,position,10,4444,100,99,0.0195832849999999,3.8403786009999994
16,position,20,4444,100,49,0.03699994,6.6764698440000005
17,position,30,4444,100,33,0.0333332819999999,7.738929524000005
18,position,40,4444,100,24,0.0537499370000001,13.078274617000003
19,position,60,4444,100,16,0.0625832650000004,15.395308619999996
20,position,100,4444,100,9,0.0929166140000001,32.07890245500003
21,position,5,5555,100,199,0.0119999709999999,2.340442099999997
22,position,10,5555,100,99,0.0234166179999999,4.041274269000004
23,position,20,5555,100,49,0.035166593,7.095634486000011
24,position,30,5555,100,33,0.0427499320000001,8.119566739000009
25,position,40,5555,100,24,0.0573332580000002,13.332662618999995
26,position,60,5555,100,16,0.0649165970000004,15.205259246999985
27,position,100,5555,100,9,0.0897499410000001,28.014933807000027
28,position,5,6666,100,199,0.0115833039999999,2.3432444829999968
29,position,10,6666,100,99,0.0218332849999999,4.234443164000002
30,position,20,6666,100,49,0.035166607,7.827990086999999
31,position,30,6666,100,33,0.041333276,8.677114859000007
32,position,40,6666,100,24,0.0607499320000004,15.444085168999994
33,position,60,6666,100,16,0.0661665980000003,17.48580438399998
34,position,100,6666,100,9,0.0964999419999999,28.255458451
35,s_s,5,1111,100,199,0.0129999679999999,3.5449167700000004
36,s_s,10,1111,100,99,0.0268332829999999,6.896134801000002
37,s_s,20,1111,100,49,0.0483332680000001,11.880102469999992
38,s_s,30,1111,100,33,0.0540832630000001,14.563332388
39,s_s,40,1111,100,24,0.0672499350000002,18.745301205999983
40,s_s,60,1111,100,16,0.0761665910000003,21.14846762000001
41,s_s,100,1111,100,9,0.1026666219999999,32.90072828199999
42,s_s,5,2222,100,199,0.0135833019999999,3.5468985720000017
43,s_s,10,2222,100,99,0.0272499449999999,6.839857915999996
44,s_s,20,2222,100,49,0.0407499200000001,11.418543674999992
45,s_s,30,2222,100,33,0.0552499210000002,14.604485339000002
46,s_s,40,2222,100,24,0.0646666000000002,18.330779563000032
47,s_s,60,2222,100,16,0.0749165910000001,19.61780007899999
48,s_s,100,2222,100,9,0.1184165979999997,32.86323344899999
49,s_s,5,4444,100,199,0.0122499699999999,3.547654661999999
50,s_s,10,4444,100,99,0.0239999519999999,6.804887489999998
51,s_s,20,4444,100,49,0.043333268,11.330687627
52,s_s,30,4444,100,33,0.047083278,15.038192631999983
53,s_s,40,4444,100,24,0.0581665970000003,17.508085170000015
54,s_s,60,4444,100,16,0.0743332660000001,22.315939776000004
55,s_s,100,4444,100,9,0.0963332769999999,34.435520191999984
56,s_s,5,5555,100,199,0.0132499669999999,3.6712588450000014
57,s_s,10,5555,100,99,0.0275832779999999,7.071662107000008
58,s_s,20,5555,100,49,0.0433332540000001,11.813067523000004
59,s_s,30,5555,100,33,0.0506665930000002,13.915099431999984
60,s_s,40,5555,100,24,0.0661666080000001,17.99070724800002
61,s_s,60,5555,100,16,0.0749166010000003,20.409256402999983
62,s_s,100,5555,100,9,0.0947499490000001,32.13980371700004
63,s_s,5,6666,100,199,0.0134999689999999,3.603172730000006
64,s_s,10,6666,100,99,0.0278332809999999,7.2866607359999955
65,s_s,20,6666,100,49,0.0463332730000001,12.225506294000006
66,s_s,30,6666,100,33,0.0588332610000002,15.456489178000004
67,s_s,40,6666,100,24,0.0686665940000001,20.368955288000016
68,s_s,60,6666,100,16,0.0739165890000001,22.69187888000004
69,s_s,100,6666,100,9,0.0971666089999999,31.537612291999995
70,s_s_keep,5,1111,100,199,0.0123333039999999,2.4919231439999985
71,s_s_keep,10,1111,100,99,0.0246666219999999,4.877126225000005
72,s_s_keep,20,1111,100,49,0.0434166030000001,9.27146069
73,s_s_keep,30,1111,100,33,0.0556666100000001,11.805220366000004
74,s_s_keep,40,1111,100,24,0.0702499370000002,18.215799156
75,s_s_keep,60,1111,100,16,0.0690832720000004,22.32388423599999
76,s_s_keep,100,1111,100,9,0.0915832859999998,34.84073711300001
77,s_s_keep,5,2222,100,199,0.0119166339999999,2.463659876000001
78,s_s_keep,10,2222,100,99,0.0217499439999999,4.417550501000009
79,s_s_keep,20,2222,100,49,0.036166589,8.89800213199998
80,s_s_keep,30,2222,100,33,0.0490832570000003,12.465775986999985
81,s_s_keep,40,2222,100,24,0.0606665960000003,16.405367994999978
82,s_s_keep,60,2222,100,16,0.0708332650000001,19.791194792000034
83,s_s_keep,100,2222,100,9,0.1083332859999999,32.81837486499999
84,s_s_keep,5,4444,100,199,0.0109166379999999,2.3483376980000004
85,s_s_keep,10,4444,100,99,0.0206666199999999,4.483828937
86,s_s_keep,20,4444,100,49,0.045249937,9.613635512000007
87,s_s_keep,30,4444,100,33,0.042166609,11.533508222999998
88,s_s_keep,40,4444,100,24,0.0624166030000002,17.627414914000013
89,s_s_keep,60,4444,100,16,0.0786665979999999,22.346670541999988
90,s_s_keep,100,4444,100,9,0.094666607,36.19919673200004
91,s_s_keep,5,5555,100,199,0.0122499699999999,2.599651284000001
92,s_s_keep,10,5555,100,99,0.0256666189999999,5.165724598
93,s_s_keep,20,5555,100,49,0.0420832630000001,9.324711933000009
94,s_s_keep,30,5555,100,33,0.0514166040000002,10.607113030999995
95,s_s_keep,40,5555,100,24,0.0645832640000002,17.722159920000024
96,s_s_keep,60,5555,100,16,0.0730832680000002,21.941541192999992
97,s_s_keep,100,5555,100,9,0.0963332670000001,30.947347931999992
98,s_s_keep,5,6666,100,199,0.0116666369999999,2.504615765999997
99,s_s_keep,10,6666,100,99,0.0239166169999999,5.124310431000004
100,s_s_keep,20,6666,100,49,0.0449999440000001,10.78070596900002
101,s_s_keep,30,6666,100,33,0.0541666000000003,11.472432724
102,s_s_keep,40,6666,100,24,0.0661665930000003,18.82919386
103,s_s_keep,60,6666,100,16,0.0719999290000002,23.221208105
104,s_s_keep,100,6666,100,9,0.118999946,34.80370121299997
